B5	5343079
##B5	5343079
92	4911232
##92	4911232
30	4888848
##30	4888848
32	4041436
##32	4041436
65	3586183
##65	3586183
73	3294287
##73	3294287
39	3071590
##39	3071590
74	2712729
##74	2712729
61	2512187
##61	2512187
2E	2497873
##2E	2497873
6F	2367337
##6F	2367337
6C	2170351
##6C	2170351
69	1954757
##69	1954757
72	1952826
##72	1952826
33	1939769
##33	1939769
6E	1899949
##6E	1899949
35	1894834
##35	1894834
38	1827307
##38	1827307
2D	1783209
##2D	1783209
34	1726532
##34	1726532
36	1644778
##36	1644778
37	1590299
##37	1590299
E2	1532258
##E2	1532258
63	1344314
##63	1344314
22	1342119
##22	1342119
79	971660
##79	971660
6D	960379
##6D	960379
2F	933993
##2F	933993
C2	906493
##C2	906493
64	850170
##64	850170
70	816693
##70	816693
68	797909
##68	797909
75	782461
##75	782461
66	622104
##66	622104
62	613486
##62	613486
49	595346
##49	595346
53	584467
##53	584467
41	581192
##41	581192
43	522429
##43	522429
3D	476402
##3D	476402
3E	453391
##3E	453391
3C	452824
##3C	452824
54	424887
##54	424887
4D	421419
##4D	421419
67	418824
##67	418824
78	415999
##78	415999
2C	377286
##2C	377286
3A	373546
##3A	373546
29	370712
##29	370712
50	368417
##50	368417
28	367808
##28	367808
42	366524
##42	366524
44	351344
##44	351344
6B	332861
##6B	332861
76	295168
##76	295168
52	287170
##52	287170
45	287158
##45	287158
4E	266779
##4E	266779
4C	259622
##4C	259622
47	257053
##47	257053
48	253476
##48	253476
4F	233827
##4F	233827
46	228686
##46	228686
7A	224178
##7A	224178
77	214931
##77	214931
57	195778
##57	195778
3B	192620
##3B	192620
56	166995
##56	166995
4B	164538
##4B	164538
25	146027
##25	146027
55	132716
##55	132716
4A	129480
##4A	129480
7B	107077
##7B	107077
5F	102235
##5F	102235
7D	92502
##7D	92502
7C	84584
##7C	84584
C3	81219
##C3	81219
58	81144
##58	81144
21	80880
##21	80880
5B	67559
##5B	67559
D0	62781
##D0	62781
59	61991
##59	61991
5D	45975
##5D	45975
23	45067
##23	45067
27	43438
##27	43438
2B	36973
##2B	36973
CE	36949
##CE	36949
5A	35947
##5A	35947
51	35604
##51	35604
6A	34103
##6A	34103
3F	30351
##3F	30351
71	27557
##71	27557
D1	22544
##D1	22544
E0	21954
##E0	21954
26	14960
##26	14960
CF	12993
##CF	12993
C4	11701
##C4	11701
7E	10899
##7E	10899
E1	10527
##E1	10527
EC	10188
##EC	10188
D8	9983
##D8	9983
C5	9030
##C5	9030
C9	9014
##C9	9014
D9	8461
##D9	8461
2A	8077
##2A	8077
24	6955
##24	6955
CA	6835
##CA	6835
CB	6613
##CB	6613
EB	6532
##EB	6532
D7	5067
##D7	5067
F0	4032
##F0	4032
EA	2955
##EA	2955
CC	2876
##CC	2876
ED	2589
##ED	2589
40	1877
##40	1877
5C	1708
##5C	1708
5E	1667
##5E	1667
D6	1245
##D6	1245
D5	929
##D5	929
C6	868
##C6	868
C7	826
##C7	826
DB	802
##DB	802
CD	597
##CD	597
D2	453
##D2	453
D3	446
##D3	446
DA	440
##DA	440
C8	399
##C8	399
60	384
##60	384
DC	336
##DC	336
DE	258
##DE	258
D4	225
##D4	225
EE	110
##EE	110
7F	36
##7F	36
DD	4
##DD	4
F4	4
##F4	4
3130	1
##3130	1
3131	1
##3131	1
3132	1
##3132	1
3133	1
##3133	1
3134	1
##3134	1
3135	1
##3135	1
3136	1
##3136	1
3137	1
##3137	1
3138	1
##3138	1
3139	1
##3139	1
3230	1
##3230	1
3231	1
##3231	1
3232	1
##3232	1
3233	1
##3233	1
3234	1
##3234	1
3235	1
##3235	1
3236	1
##3236	1
3237	1
##3237	1
3238	1
##3238	1
3239	1
##3239	1
3330	1
##3330	1
3331	1
##3331	1
3332	1
##3332	1
3333	1
##3333	1
3334	1
##3334	1
3335	1
##3335	1
3336	1
##3336	1
3337	1
##3337	1
3338	1
##3338	1
3339	1
##3339	1
3430	1
##3430	1
3431	1
##3431	1
3432	1
##3432	1
3433	1
##3433	1
3434	1
##3434	1
3435	1
##3435	1
3436	1
##3436	1
3437	1
##3437	1
3438	1
##3438	1
3439	1
##3439	1
3530	1
